                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3164,                 1.3482,                 1.5294,                0.52505,                0.41209,                0.46362,                0.30723,                  1.308,                 1.2372,                 1.5108,               0.008317,               0.008317,               0.008317
                     36,                 1.3213,                 1.3486,                 1.5302,                0.53866,                0.40966,                0.46617,                0.30892,                 1.3161,                 1.2444,                 1.5159,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.3173,                 1.3222,                 1.5254,                0.53234,                0.41457,                0.46638,                0.30933,                 1.3098,                 1.2258,                 1.5129,               0.008218,               0.008218,               0.008218
                     38,                 1.3032,                 1.3193,                 1.5188,                 0.5216,                 0.4186,                0.46295,                0.30791,                 1.3043,                 1.2333,                 1.5094,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.3042,                 1.3091,                 1.5133,                0.50857,                0.43443,                0.47446,                 0.3167,                 1.2988,                  1.218,                 1.5026,               0.008119,               0.008119,               0.008119
                     40,                 1.3006,                 1.3086,                 1.5161,                0.51116,                 0.4333,                0.47295,                0.31769,                 1.2891,                 1.2188,                 1.5021,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.3034,                 1.2975,                 1.5064,                0.52105,                0.42831,                0.47271,                 0.3152,                 1.2913,                 1.2136,                 1.4943,                0.00802,                0.00802,                0.00802
                     42,                 1.2972,                 1.2914,                 1.5101,                 0.5369,                0.42043,                0.47894,                0.32037,                 1.2847,                 1.1994,                 1.4903,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.2923,                  1.282,                 1.5048,                0.53661,                0.43027,                0.48089,                0.32017,                 1.2872,                 1.1944,                 1.4914,               0.007921,               0.007921,               0.007921
                     44,                 1.2974,                  1.284,                 1.5069,                0.53945,                0.43199,                0.48364,                0.32284,                 1.2847,                 1.1914,                  1.486,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.2901,                 1.2639,                 1.4953,                0.54753,                0.43413,                0.48361,                 0.3246,                 1.2837,                 1.1922,                 1.4802,               0.007822,               0.007822,               0.007822
                     46,                 1.2957,                 1.2763,                    1.5,                0.53145,                0.43518,                0.48002,                0.32537,                 1.2715,                 1.1854,                 1.4747,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.2861,                 1.2641,                 1.4924,                0.54452,                0.42904,                0.48557,                0.32872,                 1.2751,                 1.1807,                 1.4766,               0.007723,               0.007723,               0.007723
                     48,                 1.2848,                 1.2563,                 1.4915,                0.53884,                 0.4343,                0.48427,                0.32722,                 1.2714,                 1.1791,                 1.4755,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.2809,                 1.2496,                 1.4905,                0.53939,                0.43676,                0.48383,                0.32661,                 1.2666,                 1.1738,                  1.469,               0.007624,               0.007624,               0.007624
                     50,                 1.2787,                 1.2522,                  1.487,                0.55715,                0.42881,                0.48727,                0.33085,                 1.2635,                 1.1669,                 1.4666,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.2808,                 1.2451,                 1.4858,                0.53652,                0.44008,                0.48813,                0.33019,                 1.2633,                 1.1688,                 1.4646,               0.007525,               0.007525,               0.007525
                     52,                 1.2753,                 1.2317,                 1.4803,                0.55709,                0.43133,                0.49153,                0.33262,                 1.2649,                 1.1576,                 1.4668,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.2683,                  1.224,                 1.4807,                0.53952,                 0.4451,                0.49385,                0.33382,                 1.2655,                 1.1562,                 1.4651,               0.007426,               0.007426,               0.007426
                     54,                  1.286,                 1.2163,                 1.4849,                0.55852,                 0.4431,                 0.4976,                0.33622,                 1.2651,                 1.1532,                 1.4634,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.2683,                 1.2126,                 1.4745,                0.55669,                0.43999,                0.49634,                0.33543,                 1.2631,                 1.1567,                 1.4601,               0.007327,               0.007327,               0.007327
                     56,                 1.2763,                  1.211,                 1.4748,                0.54385,                0.45057,                0.49844,                0.33718,                 1.2627,                 1.1473,                 1.4582,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.2638,                 1.2188,                 1.4724,                0.55331,                0.44304,                0.49982,                0.33899,                 1.2647,                 1.1432,                 1.4575,               0.007228,               0.007228,               0.007228
                     58,                  1.267,                 1.2018,                 1.4701,                0.55737,                0.44382,                0.49962,                0.33794,                 1.2649,                 1.1414,                 1.4566,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.2602,                 1.1862,                 1.4663,                0.56355,                0.44325,                0.50129,                0.34073,                 1.2584,                 1.1353,                 1.4531,               0.007129,               0.007129,               0.007129
                     60,                 1.2614,                 1.1948,                 1.4697,                0.56257,                 0.4523,                0.50298,                0.34203,                 1.2572,                 1.1325,                 1.4513,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.2648,                  1.187,                 1.4669,                0.55967,                0.45288,                0.50277,                0.34221,                 1.2569,                 1.1286,                 1.4511,                0.00703,                0.00703,                0.00703
                     62,                 1.2637,                 1.1797,                 1.4595,                0.55283,                0.45513,                 0.5043,                0.34308,                 1.2564,                  1.127,                  1.449,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.2487,                 1.1771,                 1.4591,                0.56011,                0.45409,                0.50492,                0.34441,                 1.2567,                 1.1242,                 1.4503,               0.006931,               0.006931,               0.006931
                     64,                 1.2489,                 1.1789,                 1.4585,                0.54846,                0.46014,                0.50435,                0.34427,                 1.2561,                 1.1229,                 1.4485,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.2647,                 1.1722,                 1.4594,                0.55324,                0.46066,                0.50561,                0.34444,                 1.2554,                 1.1216,                  1.448,               0.006832,               0.006832,               0.006832
                     66,                 1.2515,                 1.1704,                 1.4596,                0.54764,                0.46409,                 0.5063,                0.34453,                 1.2529,                 1.1203,                 1.4469,              0.0067825,              0.0067825,              0.0067825
                     67,                  1.269,                 1.1739,                 1.4615,                0.55421,                0.46868,                0.50754,                0.34627,                 1.2514,                 1.1196,                 1.4451,               0.006733,               0.006733,               0.006733
                     68,                 1.2502,                 1.1602,                 1.4512,                0.55898,                0.46498,                0.50806,                0.34706,                 1.2511,                 1.1187,                  1.444,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.2583,                 1.1632,                 1.4584,                0.55613,                0.46944,                0.50777,                0.34757,                 1.2501,                 1.1173,                 1.4426,               0.006634,               0.006634,               0.006634
                     70,                 1.2398,                 1.1521,                 1.4507,                0.56493,                0.46331,                0.50975,                0.34866,                 1.2492,                 1.1155,                 1.4416,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.2472,                 1.1507,                 1.4514,                0.56996,                0.46005,                0.51044,                0.34925,                  1.249,                 1.1143,                 1.4406,               0.006535,               0.006535,               0.006535
                     72,                 1.2548,                 1.1518,                 1.4506,                0.56781,                0.46293,                 0.5115,                0.34977,                 1.2486,                 1.1122,                 1.4398,              0.0064855,              0.0064855,              0.0064855
                     73,                  1.252,                 1.1507,                 1.4494,                0.56335,                 0.4688,                0.51274,                0.35055,                 1.2463,                 1.1098,                 1.4374,               0.006436,               0.006436,               0.006436
                     74,                 1.2462,                 1.1539,                 1.4476,                0.57374,                0.46545,                0.51278,                0.35101,                  1.245,                 1.1081,                 1.4358,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.2552,                 1.1342,                 1.4443,                0.57788,                0.46496,                0.51393,                0.35162,                 1.2453,                 1.1067,                 1.4352,               0.006337,               0.006337,               0.006337
                     76,                 1.2356,                 1.1264,                 1.4387,                0.57928,                0.46768,                0.51479,                0.35223,                 1.2449,                 1.1042,                 1.4342,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.2311,                 1.1325,                 1.4424,                0.57997,                0.46607,                0.51564,                0.35332,                 1.2439,                 1.1028,                 1.4333,               0.006238,               0.006238,               0.006238
                     78,                 1.2363,                 1.1283,                 1.4337,                0.58265,                0.46544,                  0.516,                0.35324,                 1.2435,                 1.1021,                 1.4324,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.2386,                 1.1248,                 1.4336,                 0.5851,                0.46705,                0.51668,                0.35393,                 1.2428,                 1.1012,                 1.4315,               0.006139,               0.006139,               0.006139
                     80,                 1.2325,                 1.1249,                 1.4333,                 0.5826,                0.46791,                0.51754,                0.35429,                 1.2425,                 1.1002,                 1.4305,              0.0060895,              0.0060895,              0.0060895
                     81,                   1.24,                 1.1198,                 1.4344,                0.58248,                 0.4688,                0.51803,                0.35436,                 1.2427,                 1.0991,                 1.4302,                0.00604,                0.00604,                0.00604
                     82,                 1.2254,                 1.1115,                 1.4315,                 0.5851,                0.46681,                0.51841,                0.35496,                 1.2426,                 1.0978,                 1.4297,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.2322,                 1.1057,                 1.4316,                0.57989,                0.47023,                 0.5182,                0.35494,                  1.242,                 1.0966,                 1.4292,               0.005941,               0.005941,               0.005941
                     84,                 1.2232,                 1.1081,                 1.4288,                0.58217,                0.46783,                0.51883,                0.35552,                 1.2414,                 1.0958,                 1.4285,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.2149,                 1.1024,                 1.4221,                0.58449,                0.46693,                0.51904,                0.35563,                 1.2409,                 1.0951,                 1.4277,               0.005842,               0.005842,               0.005842
                     86,                 1.2178,                 1.0986,                  1.426,                0.58786,                0.46604,                0.51944,                0.35605,                 1.2406,                 1.0942,                 1.4273,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.2404,                   1.11,                 1.4305,                0.58462,                0.46682,                 0.5195,                0.35625,                 1.2399,                 1.0936,                 1.4265,               0.005743,               0.005743,               0.005743
                     88,                  1.227,                 1.1029,                 1.4302,                0.58991,                0.46514,                0.51931,                0.35637,                 1.2395,                 1.0928,                 1.4258,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.2168,                 1.0832,                 1.4142,                0.57981,                0.47092,                0.51972,                0.35684,                 1.2387,                  1.092,                  1.425,               0.005644,               0.005644,               0.005644
                     90,                 1.2208,                 1.0876,                 1.4217,                0.58002,                0.47112,                0.51961,                0.35725,                 1.2384,                 1.0913,                 1.4246,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.2295,                 1.0897,                 1.4202,                0.58316,                0.47011,                0.52035,                0.35756,                  1.238,                 1.0904,                 1.4242,               0.005545,               0.005545,               0.005545
                     92,                 1.2192,                 1.0837,                 1.4187,                 0.5888,                0.46689,                0.52056,                0.35769,                 1.2382,                 1.0901,                 1.4239,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.2167,                 1.0743,                 1.4134,                0.58673,                0.46735,                0.52019,                0.35775,                 1.2382,                 1.0896,                 1.4236,               0.005446,               0.005446,               0.005446
                     94,                 1.2147,                 1.0761,                 1.4127,                0.59111,                0.46407,                0.52036,                0.35804,                  1.238,                 1.0887,                 1.4231,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.2106,                 1.0694,                 1.4083,                0.58495,                0.46872,                0.52107,                 0.3582,                 1.2379,                 1.0884,                 1.4229,               0.005347,               0.005347,               0.005347
                     96,                 1.2194,                 1.0792,                 1.4129,                0.58742,                0.46872,                 0.5212,                0.35831,                 1.2373,                 1.0877,                 1.4223,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.2122,                 1.0693,                  1.409,                 0.5891,                0.46753,                0.52174,                0.35858,                 1.2375,                  1.087,                 1.4222,               0.005248,               0.005248,               0.005248
                     98,                 1.2096,                  1.052,                 1.4051,                0.58789,                0.46841,                 0.5219,                0.35879,                 1.2375,                 1.0861,                  1.422,              0.0051985,              0.0051985,              0.0051985
                     99,                 1.2164,                 1.0731,                 1.4065,                0.58889,                0.46853,                0.52226,                0.35878,                 1.2375,                 1.0854,                 1.4217,               0.005149,               0.005149,               0.005149
                    100,                 1.2095,                 1.0689,                 1.4085,                0.58992,                0.46794,                0.52271,                0.35901,                 1.2376,                 1.0846,                 1.4215,              0.0050995,              0.0050995,              0.0050995
                    101,                 1.2066,                 1.0559,                 1.4024,                0.59089,                 0.4682,                0.52292,                0.35936,                 1.2376,                 1.0839,                 1.4213,                0.00505,                0.00505,                0.00505
                    102,                 1.2032,                 1.0591,                 1.4032,                0.59032,                0.46877,                0.52304,                0.35982,                 1.2374,                 1.0831,                 1.4211,              0.0050005,              0.0050005,              0.0050005
                    103,                 1.2074,                 1.0472,                 1.3997,                0.59206,                0.46836,                0.52337,                0.36003,                 1.2373,                 1.0823,                 1.4207,               0.004951,               0.004951,               0.004951
                    104,                 1.1925,                 1.0431,                 1.3981,                0.59299,                0.46775,                0.52364,                 0.3605,                 1.2369,                 1.0818,                 1.4203,              0.0049015,              0.0049015,              0.0049015
                    105,                 1.2112,                 1.0533,                 1.4002,                 0.5928,                0.46893,                0.52377,                0.36092,                 1.2365,                 1.0808,                 1.4198,               0.004852,               0.004852,               0.004852
                    106,                 1.2063,                 1.0469,                 1.3985,                0.59501,                0.46851,                0.52391,                0.36103,                  1.236,                 1.0803,                 1.4192,              0.0048025,              0.0048025,              0.0048025
                    107,                 1.1976,                 1.0419,                 1.3949,                0.59176,                0.47111,                0.52426,                0.36115,                 1.2358,                 1.0797,                 1.4189,               0.004753,               0.004753,               0.004753
                    108,                 1.1955,                 1.0409,                 1.3947,                0.59286,                0.47144,                0.52469,                0.36142,                 1.2355,                 1.0789,                 1.4185,              0.0047035,              0.0047035,              0.0047035
                    109,                 1.1922,                 1.0321,                 1.3903,                0.59435,                0.47171,                0.52485,                0.36206,                 1.2351,                 1.0783,                 1.4181,               0.004654,               0.004654,               0.004654
                    110,                 1.2043,                 1.0408,                 1.3953,                0.59306,                0.47161,                0.52507,                0.36202,                 1.2349,                 1.0777,                 1.4179,              0.0046045,              0.0046045,              0.0046045
                    111,                 1.2042,                 1.0359,                 1.3919,                 0.5888,                0.47328,                 0.5253,                0.36221,                 1.2343,                 1.0772,                 1.4172,               0.004555,               0.004555,               0.004555
                    112,                  1.207,                 1.0332,                 1.3899,                0.59436,                0.47198,                0.52581,                0.36283,                 1.2342,                 1.0765,                 1.4168,              0.0045055,              0.0045055,              0.0045055
                    113,                 1.1953,                 1.0333,                 1.3913,                0.59389,                0.47164,                0.52606,                0.36325,                  1.234,                 1.0762,                 1.4164,               0.004456,               0.004456,               0.004456
                    114,                 1.1909,                 1.0274,                 1.3908,                0.59413,                0.47184,                0.52626,                 0.3633,                 1.2337,                 1.0757,                 1.4159,              0.0044065,              0.0044065,              0.0044065
                    115,                 1.1884,                 1.0151,                 1.3837,                0.59491,                0.47088,                0.52611,                0.36345,                 1.2331,                 1.0755,                 1.4154,               0.004357,               0.004357,               0.004357
                    116,                 1.1892,                 1.0261,                 1.3916,                0.59711,                0.47096,                0.52638,                0.36362,                 1.2327,                  1.075,                 1.4148,              0.0043075,              0.0043075,              0.0043075
                    117,                 1.1909,                 1.0198,                 1.3866,                0.58941,                0.47598,                0.52651,                0.36388,                 1.2324,                 1.0745,                 1.4143,               0.004258,               0.004258,               0.004258
                    118,                 1.1804,                 1.0139,                 1.3843,                0.59028,                0.47637,                0.52689,                0.36393,                 1.2321,                 1.0739,                 1.4139,              0.0042085,              0.0042085,              0.0042085
                    119,                 1.1932,                 1.0139,                 1.3817,                0.59044,                0.47585,                0.52722,                0.36399,                 1.2317,                 1.0734,                 1.4133,               0.004159,               0.004159,               0.004159
                    120,                 1.1875,                 1.0069,                 1.3814,                0.59234,                0.47481,                0.52724,                0.36397,                 1.2313,                 1.0731,                 1.4128,              0.0041095,              0.0041095,              0.0041095
                    121,                 1.1756,                 1.0108,                  1.379,                0.59053,                0.47724,                0.52718,                0.36411,                  1.231,                 1.0725,                 1.4123,                0.00406,                0.00406,                0.00406
                    122,                 1.1802,                 1.0088,                 1.3785,                0.58904,                0.47806,                0.52775,                0.36466,                 1.2308,                  1.072,                 1.4119,              0.0040105,              0.0040105,              0.0040105
                    123,                 1.1835,                0.99755,                  1.379,                0.59195,                0.47712,                0.52768,                0.36479,                 1.2304,                 1.0715,                 1.4113,               0.003961,               0.003961,               0.003961
                    124,                 1.1644,                0.99418,                 1.3687,                0.59226,                0.47716,                0.52821,                0.36507,                 1.2301,                  1.071,                 1.4108,              0.0039115,              0.0039115,              0.0039115
                    125,                 1.1794,                 1.0018,                 1.3744,                0.59202,                 0.4779,                0.52853,                0.36524,                 1.2298,                 1.0706,                 1.4103,               0.003862,               0.003862,               0.003862
                    126,                 1.1899,                0.99586,                 1.3747,                0.59435,                0.47823,                0.52903,                0.36587,                 1.2295,                 1.0698,                 1.4099,              0.0038125,              0.0038125,              0.0038125
                    127,                 1.1715,                0.99557,                 1.3686,                0.59553,                0.47734,                 0.5291,                0.36605,                 1.2295,                 1.0692,                 1.4096,               0.003763,               0.003763,               0.003763
                    128,                 1.1677,                0.98721,                 1.3675,                0.59688,                0.47556,                0.52954,                0.36645,                 1.2292,                 1.0687,                 1.4091,              0.0037135,              0.0037135,              0.0037135
                    129,                 1.1749,                0.98517,                 1.3703,                0.59474,                0.47905,                0.53018,                0.36657,                 1.2291,                 1.0683,                 1.4088,               0.003664,               0.003664,               0.003664
                    130,                 1.1683,                0.97852,                 1.3634,                0.59399,                 0.4792,                0.53038,                0.36697,                 1.2288,                 1.0677,                 1.4084,              0.0036145,              0.0036145,              0.0036145
                    131,                 1.1616,                0.97916,                  1.365,                0.59711,                0.47743,                0.53101,                0.36715,                 1.2288,                 1.0671,                  1.408,               0.003565,               0.003565,               0.003565
                    132,                 1.1662,                0.97519,                 1.3646,                0.59818,                0.47891,                 0.5314,                0.36761,                 1.2287,                 1.0668,                 1.4075,              0.0035155,              0.0035155,              0.0035155
                    133,                 1.1744,                0.97535,                 1.3605,                0.60064,                0.47877,                0.53151,                0.36765,                 1.2283,                  1.066,                 1.4072,               0.003466,               0.003466,               0.003466
                    134,                 1.1641,                0.98285,                 1.3622,                0.60317,                0.47777,                0.53222,                0.36807,                 1.2278,                 1.0655,                 1.4065,              0.0034165,              0.0034165,              0.0034165
                    135,                 1.1627,                0.97475,                 1.3612,                0.60425,                0.47769,                0.53286,                0.36864,                 1.2274,                 1.0651,                  1.406,               0.003367,               0.003367,               0.003367
                    136,                 1.1612,                0.98007,                 1.3635,                0.60329,                0.47812,                0.53272,                0.36854,                  1.227,                 1.0647,                 1.4056,              0.0033175,              0.0033175,              0.0033175
                    137,                 1.1534,                0.96212,                 1.3556,                0.60594,                0.47724,                 0.5332,                0.36894,                 1.2266,                 1.0645,                 1.4052,               0.003268,               0.003268,               0.003268
                    138,                 1.1548,                0.96123,                 1.3544,                0.60505,                0.47746,                0.53332,                0.36947,                 1.2264,                  1.064,                 1.4048,              0.0032185,              0.0032185,              0.0032185
                    139,                 1.1733,                0.96961,                  1.364,                0.60418,                0.47887,                0.53382,                0.37004,                 1.2259,                 1.0637,                 1.4042,               0.003169,               0.003169,               0.003169
                    140,                 1.1581,                0.95763,                 1.3529,                0.60628,                0.47697,                0.53412,                0.37024,                 1.2258,                 1.0638,                 1.4039,              0.0031195,              0.0031195,              0.0031195
                    141,                 1.1687,                0.96137,                 1.3577,                0.60132,                0.47939,                0.53453,                0.37058,                 1.2254,                 1.0637,                 1.4035,                0.00307,                0.00307,                0.00307
                    142,                 1.1452,                0.95164,                 1.3539,                0.60593,                0.47812,                0.53474,                0.37085,                 1.2248,                 1.0634,                 1.4027,              0.0030205,              0.0030205,              0.0030205
                    143,                 1.1608,                0.96099,                 1.3554,                0.60604,                0.47805,                0.53531,                0.37112,                 1.2249,                 1.0631,                 1.4026,               0.002971,               0.002971,               0.002971
                    144,                 1.1483,                0.95051,                 1.3502,                0.60477,                0.47878,                0.53566,                0.37103,                 1.2246,                 1.0626,                 1.4021,              0.0029215,              0.0029215,              0.0029215
                    145,                 1.1471,                 0.9518,                  1.349,                  0.604,                0.47976,                0.53583,                0.37112,                 1.2244,                  1.062,                  1.402,               0.002872,               0.002872,               0.002872
                    146,                 1.1509,                 0.9471,                 1.3517,                0.60061,                 0.4811,                0.53611,                0.37148,                  1.224,                 1.0618,                 1.4015,              0.0028225,              0.0028225,              0.0028225
                    147,                 1.1534,                0.95328,                 1.3513,                 0.5976,                0.48405,                0.53638,                0.37161,                 1.2238,                 1.0618,                  1.401,               0.002773,               0.002773,               0.002773
                    148,                 1.1489,                0.93618,                 1.3424,                0.60068,                0.48275,                0.53652,                0.37193,                 1.2236,                 1.0616,                 1.4006,              0.0027235,              0.0027235,              0.0027235
                    149,                 1.1428,                0.93553,                 1.3423,                0.60002,                0.48402,                0.53674,                0.37186,                 1.2236,                 1.0619,                 1.4005,               0.002674,               0.002674,               0.002674
                    150,                 1.1535,                0.94891,                 1.3492,                0.60301,                0.48256,                0.53889,                0.37399,                 1.2235,                  1.062,                 1.4002,              0.0026245,              0.0026245,              0.0026245
                    151,                 1.1562,                0.94451,                 1.3469,                0.60318,                0.48368,                0.53938,                0.37432,                 1.2233,                  1.062,                 1.3998,               0.002575,               0.002575,               0.002575
                    152,                   1.15,                0.93503,                 1.3459,                0.60047,                0.48531,                0.53957,                0.37417,                 1.2232,                 1.0619,                 1.3995,              0.0025255,              0.0025255,              0.0025255
                    153,                 1.1369,                 0.9365,                 1.3435,                0.59244,                0.49081,                0.53984,                0.37483,                  1.223,                 1.0616,                 1.3991,               0.002476,               0.002476,               0.002476
                    154,                 1.1404,                0.93261,                 1.3405,                 0.5917,                0.48999,                0.54038,                0.37476,                 1.2229,                 1.0614,                 1.3988,              0.0024265,              0.0024265,              0.0024265
