                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    155,                 1.1463,                0.93114,                 1.3421,                 0.5921,                0.48993,                0.54046,                0.37508,                 1.2225,                 1.0611,                  1.398,               0.002377,               0.002377,               0.002377
                    156,                 1.1336,                0.92931,                 1.3361,                0.59376,                0.49037,                 0.5409,                0.37512,                 1.2225,                 1.0611,                 1.3977,              0.0023275,              0.0023275,              0.0023275
                    157,                 1.1407,                 0.9168,                  1.333,                0.59439,                0.48964,                0.54105,                0.37528,                 1.2224,                 1.0612,                 1.3974,               0.002278,               0.002278,               0.002278
                    158,                 1.1374,                0.92675,                 1.3389,                  0.592,                0.49044,                0.54093,                0.37528,                 1.2222,                 1.0608,                  1.397,              0.0022285,              0.0022285,              0.0022285
                    159,                 1.1328,                0.91568,                 1.3341,                0.59394,                0.49607,                0.54087,                0.37515,                 1.2222,                  1.061,                 1.3968,               0.002179,               0.002179,               0.002179
                    160,                 1.1287,                0.91788,                 1.3334,                0.59746,                0.49564,                0.54113,                0.37529,                 1.2217,                 1.0606,                 1.3962,              0.0021295,              0.0021295,              0.0021295
                    161,                 1.1297,                0.90965,                 1.3306,                0.59734,                0.49486,                0.54118,                0.37553,                 1.2216,                 1.0602,                 1.3958,                0.00208,                0.00208,                0.00208
                    162,                 1.1222,                0.91096,                 1.3321,                0.59986,                0.49417,                0.54125,                0.37551,                 1.2218,                   1.06,                 1.3957,              0.0020305,              0.0020305,              0.0020305
                    163,                 1.1303,                0.91298,                 1.3306,                0.59803,                0.49538,                0.54088,                0.37523,                 1.2218,                 1.0602,                 1.3955,               0.001981,               0.001981,               0.001981
                    164,                  1.123,                0.91213,                 1.3329,                0.59824,                 0.4966,                 0.5408,                0.37525,                 1.2216,                   1.06,                 1.3951,              0.0019315,              0.0019315,              0.0019315
                    165,                 1.1239,                0.90631,                  1.331,                0.59852,                0.49743,                0.54097,                0.37534,                 1.2216,                 1.0596,                 1.3948,               0.001882,               0.001882,               0.001882
                    166,                 1.1306,                0.90877,                 1.3304,                0.59911,                0.49714,                0.54129,                0.37542,                 1.2215,                 1.0593,                 1.3945,              0.0018325,              0.0018325,              0.0018325
                    167,                 1.1277,                0.90087,                 1.3297,                0.59925,                 0.4964,                0.54127,                0.37553,                 1.2215,                 1.0592,                 1.3945,               0.001783,               0.001783,               0.001783
                    168,                 1.1316,                 0.9073,                 1.3317,                0.60025,                0.49557,                0.54096,                0.37552,                 1.2216,                  1.059,                 1.3944,              0.0017335,              0.0017335,              0.0017335
                    169,                 1.1181,                0.89058,                 1.3207,                0.60056,                0.49618,                0.54103,                0.37555,                 1.2218,                 1.0591,                 1.3942,               0.001684,               0.001684,               0.001684
                    170,                 1.1214,                0.90271,                 1.3264,                0.60237,                0.49579,                0.54139,                 0.3753,                 1.2217,                 1.0589,                  1.394,              0.0016345,              0.0016345,              0.0016345
                    171,                 1.1318,                0.89496,                 1.3267,                0.60224,                0.49439,                 0.5413,                0.37541,                 1.2216,                  1.059,                 1.3937,               0.001585,               0.001585,               0.001585
                    172,                 1.1231,                0.88911,                 1.3198,                 0.6052,                0.49409,                0.54123,                0.37552,                 1.2215,                 1.0589,                 1.3934,              0.0015355,              0.0015355,              0.0015355
                    173,                 1.1245,                0.89485,                 1.3225,                0.60723,                0.49361,                0.54158,                0.37548,                 1.2216,                 1.0585,                 1.3934,               0.001486,               0.001486,               0.001486
                    174,                 1.1062,                0.88338,                  1.317,                0.60834,                0.49136,                0.54143,                0.37547,                 1.2214,                 1.0586,                 1.3931,              0.0014365,              0.0014365,              0.0014365
                    175,                 1.1192,                0.88159,                 1.3187,                0.60753,                0.49086,                0.54162,                0.37553,                 1.2216,                 1.0586,                  1.393,               0.001387,               0.001387,               0.001387
                    176,                 1.1121,                0.88303,                 1.3207,                0.60992,                0.48957,                0.54187,                0.37538,                 1.2216,                 1.0586,                 1.3929,              0.0013375,              0.0013375,              0.0013375
                    177,                 1.1115,                0.88268,                 1.3175,                0.61131,                 0.4898,                0.54214,                0.37555,                 1.2217,                 1.0589,                 1.3925,               0.001288,               0.001288,               0.001288
                    178,                 1.1171,                0.88911,                 1.3177,                0.61267,                0.48571,                0.54223,                0.37586,                 1.2215,                 1.0588,                 1.3923,              0.0012385,              0.0012385,              0.0012385
                    179,                  1.104,                 0.8792,                  1.318,                0.61172,                0.48757,                0.54218,                0.37597,                 1.2217,                 1.0592,                 1.3922,               0.001189,               0.001189,               0.001189
                    180,                 1.1022,                0.86689,                  1.309,                0.61154,                0.48829,                0.54234,                0.37603,                 1.2216,                 1.0589,                 1.3918,              0.0011395,              0.0011395,              0.0011395
                    181,                 1.0987,                0.87418,                 1.3121,                0.61052,                0.48812,                0.54252,                0.37627,                 1.2216,                 1.0589,                 1.3917,                0.00109,                0.00109,                0.00109
                    182,                 1.1022,                 0.8713,                 1.3122,                0.60749,                0.49178,                0.54254,                0.37618,                 1.2217,                 1.0586,                 1.3915,              0.0010405,              0.0010405,              0.0010405
                    183,                 1.0989,                0.86962,                 1.3105,                0.60553,                0.49328,                0.54258,                0.37644,                 1.2216,                 1.0586,                 1.3912,               0.000991,               0.000991,               0.000991
                    184,                 1.0956,                0.85964,                 1.3069,                0.59993,                 0.4952,                0.54273,                 0.3765,                 1.2217,                 1.0581,                 1.3911,              0.0009415,              0.0009415,              0.0009415
                    185,                 1.1047,                0.87125,                  1.313,                 0.5977,                0.49667,                0.54297,                0.37658,                 1.2216,                  1.058,                 1.3908,               0.000892,               0.000892,               0.000892
                    186,                 1.0915,                0.85534,                 1.3055,                0.59715,                0.49712,                0.54287,                0.37665,                 1.2216,                 1.0578,                 1.3906,              0.0008425,              0.0008425,              0.0008425
                    187,                 1.1057,                0.86519,                  1.309,                0.59639,                0.49691,                 0.5429,                0.37669,                 1.2215,                 1.0576,                 1.3904,               0.000793,               0.000793,               0.000793
                    188,                 1.0913,                0.85026,                 1.2991,                0.59519,                0.49706,                0.54308,                0.37689,                 1.2214,                 1.0571,                 1.3901,              0.0007435,              0.0007435,              0.0007435
                    189,                 1.0933,                0.85665,                 1.3051,                0.59387,                0.49749,                0.54334,                0.37697,                 1.2214,                 1.0572,                   1.39,               0.000694,               0.000694,               0.000694
                    190,                 1.0945,                0.85396,                 1.3065,                0.59268,                0.49208,                0.54358,                0.37706,                 1.2214,                 1.0567,                 1.3897,              0.0006445,              0.0006445,              0.0006445
                    191,                 1.1316,                0.81418,                 1.3302,                0.59359,                0.49161,                0.54395,                 0.3771,                 1.2216,                 1.0567,                 1.3895,               0.000595,               0.000595,               0.000595
                    192,                 1.1208,                0.79762,                 1.3252,                0.59352,                0.49275,                0.54424,                 0.3772,                 1.2218,                 1.0563,                 1.3895,              0.0005455,              0.0005455,              0.0005455
                    193,                 1.1192,                0.79393,                 1.3228,                0.59501,                0.49335,                0.54451,                0.37724,                 1.2219,                 1.0562,                 1.3894,               0.000496,               0.000496,               0.000496
                    194,                 1.1118,                0.78764,                 1.3216,                0.59592,                0.49357,                 0.5445,                0.37726,                  1.222,                 1.0562,                 1.3893,              0.0004465,              0.0004465,              0.0004465
                    195,                 1.1026,                0.78194,                 1.3155,                0.59576,                0.49389,                0.54469,                0.37696,                 1.2223,                 1.0562,                 1.3893,               0.000397,               0.000397,               0.000397
                    196,                 1.1034,                0.77583,                 1.3108,                 0.5964,                0.49381,                0.54499,                 0.3772,                 1.2225,                 1.0554,                 1.3892,              0.0003475,              0.0003475,              0.0003475
                    197,                  1.103,                0.77536,                  1.313,                0.59903,                0.49433,                0.54517,                0.37741,                 1.2225,                 1.0552,                  1.389,               0.000298,               0.000298,               0.000298
                    198,                  1.097,                0.77152,                 1.3062,                 0.5987,                0.49399,                0.54502,                0.37737,                 1.2226,                 1.0546,                 1.3887,              0.0002485,              0.0002485,              0.0002485
                    199,                 1.1023,                0.76754,                 1.3055,                0.59806,                0.49545,                0.54542,                0.37755,                 1.2225,                 1.0545,                 1.3883,               0.000199,               0.000199,               0.000199
                    200,                 1.0947,                0.76645,                 1.3039,                0.59957,                0.49522,                0.54578,                0.37746,                 1.2226,                 1.0539,                 1.3881,              0.0001495,              0.0001495,              0.0001495
